"wavelength" "epsilon"
819.732441471572 -28.339216925395+1.9801577504994i
822.073578595318 -28.5748404177531+1.9960593109926i
824.414715719064 -28.8080213339771+2.0120651810367i
826.755852842809 -29.0385860989664+2.0281785473812i
829.096989966555 -29.2664487923809+2.0444019338701i
831.438127090301 -29.4917876439159+2.0607358666638i
833.779264214047 -29.7148304421397+2.0771804971245i
836.120401337793 -29.9358049756201+2.0937359766143i
838.461538461539 -30.1549390329254+2.1104024564955i
840.802675585284 -30.3724604026235+2.12718008813i
843.14381270903 -30.5885968732825+2.1440690228802i
845.484949832776 -30.8035762334706+2.1610694121082i
847.826086956522 -31.0176262717557+2.1781814071762i
850.167224080268 -31.2309747767059+2.1954051594463i
852.508361204013 -31.4438495368893+2.2127408202806i
854.849498327759 -31.656478340874+2.2301885410415i
857.190635451505 -31.869088977228+2.2477484730909i
859.531772575251 -32.0819092345195+2.2654207677911i
861.872909698997 -32.2951669013164+2.2832055765043i
864.214046822742 -32.5090897661868+2.3011030505926i
866.555183946488 -32.7239056176989+2.3191133414182i
868.896321070234 -32.9398422444206+2.3372366003433i
871.23745819398 -33.1571274349201+2.3554729787299i
873.578595317726 -33.3759889777654+2.3738226279403i
875.919732441472 -33.5966546615246+2.3922856993367i
878.260869565217 -33.8193522747658+2.4108623442812i
880.602006688963 -34.0443096060569+2.429552714136i
882.943143812709 -34.2717544439662+2.4483569602632i
885.284280936455 -34.5019145770616+2.467275234025i
887.625418060201 -34.7349720575269+2.48630721322i
889.966555183947 -34.970843925837+2.505449831663i
892.307692307692 -35.2093520003368+2.5246990372199i
894.648829431438 -35.450317975044+2.5440507764693i
896.989966555184 -35.6935635439766+2.56350099599i
899.33110367893 -35.9389104011525+2.5830456423606i
901.672240802676 -36.1861802405896+2.6026806621597i
904.013377926421 -36.4351947563058+2.6224020019661i
906.354515050167 -36.685775642319+2.6422056083582i
908.695652173913 -36.9377445926471+2.6620874279149i
911.036789297659 -37.1909233013081+2.6820434072148i
913.377926421405 -37.4451334623198+2.7020694928365i
915.719063545151 -37.7001967697+2.7221616313586i
918.060200668896 -37.9559349174669+2.7423157693599i
920.401337792642 -38.2121695996381+2.762527853419i
922.742474916388 -38.4687225102317+2.7827938301145i
925.083612040134 -38.7254153432655+2.8031096460251i
927.42474916388 -38.9820697927574+2.8234712477295i
929.765886287625 -39.2385075527254+2.8438745818063i
932.107023411371 -39.4945503171873+2.8643155948342i
934.448160535117 -39.7500197801611+2.8847902333917i
936.789297658863 -40.0047376356646+2.9052944440577i
939.130434782609 -40.2585255777158+2.9258241734107i
941.471571906355 -40.5112053003326+2.9463753680293i
943.8127090301 -40.7625984975328+2.9669439744923i
946.153846153846 -41.0125268633343+2.9875259393783i
948.494983277592 -41.2608120917551+3.008117209266i
950.836120401338 -41.5072758768132+3.028713730734i
953.177257525084 -41.7517399125262+3.0493114503609i
955.518394648829 -41.9947147201901+3.0699077755448i
957.859531772575 -42.2376362501394+3.0905040173527i
960.200668896321 -42.4805577800887+3.1111002591605i
962.541806020067 -42.7234793100379+3.1316965009684i
964.882943143813 -42.9664008399872+3.1522927427763i
967.224080267559 -43.2093223699365+3.1728889845842i
969.565217391304 -43.4522438998857+3.1934852263921i
971.90635451505 -43.695165429835+3.2140814682i
974.247491638796 -43.9380869597843+3.2346777100078i
976.588628762542 -44.1810084897335+3.2552739518157i
978.929765886288 -44.4239300196828+3.2758701936236i
981.270903010034 -44.6668515496321+3.2964664354315i
983.612040133779 -44.9097730795814+3.3170626772394i
985.953177257525 -45.1526946095306+3.3376589190472i
988.294314381271 -45.3956161394799+3.3582551608551i
990.635451505017 -45.6385376694292+3.378851402663i
992.976588628763 -45.8814591993785+3.3994476444709i
995.317725752508 -46.1243807293277+3.4200438862788i
997.658862876254 -46.367302259277+3.4406401280866i
1000 -46.6102237892263+3.4612363698945i
